timestamp,right_ascension,declination,brightness,luminosity,temperature,radiation_level,redshift,proper_motion,parallax
2025-10-21T07:11:04.810Z,304.320499,81.939268,2632.83,1185803.83,6905.12,92.70,0.099827,16.5023,5.9470
2025-10-21T06:11:04.810Z,81.705237,-47.590195,5569.01,1316442.15,6547.63,12.28,0.129087,13.8911,12.7143
2025-10-21T05:11:04.810Z,189.476783,-56.639292,2273.87,1122279.66,5231.15,105.87,0.145585,1.0756,8.9344
2025-10-21T04:11:04.810Z,210.047137,-49.551916,2141.70,1174107.27,5949.79,88.01,0.050818,19.5708,7.3712
2025-10-21T03:11:04.810Z,11.074509,-28.500817,2492.17,1157632.62,5803.78,91.15,0.016285,16.4881,11.2582
2025-10-21T02:11:04.810Z,109.159354,-7.355743,2387.45,1115195.05,6318.51,114.05,0.149186,12.8822,13.6893
2025-10-21T01:11:04.810Z,302.341783,11.452860,2131.80,1294590.54,5958.82,106.23,0.065102,8.0849,6.8280
2025-10-21T00:11:04.810Z,235.356434,72.157424,2274.74,1244527.81,5278.85,111.54,0.025683,9.2698,13.6566
2025-10-20T23:11:04.810Z,105.382830,-35.336291,2785.41,1278054.84,6105.06,85.47,0.134596,14.3344,8.8071
2025-10-20T22:11:04.810Z,162.652320,14.684607,2208.44,1186704.52,6838.01,83.94,0.099672,3.7064,12.4830
2025-10-20T21:11:04.810Z,272.752743,70.476626,2537.94,1088115.83,5157.29,83.20,0.179574,2.7670,13.0825
2025-10-20T20:11:04.810Z,56.943509,48.157560,2037.45,1055774.44,5028.70,81.81,0.045061,4.5765,11.6208
2025-10-20T19:11:04.810Z,240.125611,-5.637604,2646.62,1471902.56,6540.40,88.23,0.090697,6.4785,5.2246
2025-10-20T18:11:04.810Z,148.870353,-45.143667,2272.89,1018306.40,6528.25,102.92,0.006200,2.0509,9.2033
2025-10-20T17:11:04.810Z,186.516459,-81.670279,2331.18,1084193.50,5409.95,82.97,0.041945,7.2073,13.4034
2025-10-20T16:11:04.810Z,296.417265,13.078272,2875.06,1061131.62,6907.59,117.76,0.027878,3.5272,13.5489
2025-10-20T15:11:04.810Z,23.152119,60.165713,2111.92,1391342.64,6407.36,110.50,0.196102,12.2871,14.2829
2025-10-20T14:11:04.810Z,105.583173,66.887822,2242.83,1133301.77,5167.30,87.88,0.138489,19.1562,12.6720
2025-10-20T13:11:04.810Z,352.533716,15.365274,2189.00,1178103.74,6382.32,100.67,0.045127,5.4472,6.4587
2025-10-20T12:11:04.810Z,358.954944,77.539885,2537.08,1062142.04,5179.25,80.76,0.120395,7.1539,6.3508
2025-10-20T11:11:04.810Z,9.104719,61.474077,2796.16,1011183.86,5979.87,83.53,0.135625,5.1757,5.3466
2025-10-20T10:11:04.810Z,285.103618,49.858384,2478.11,1352633.12,5202.64,106.85,0.095293,12.7456,6.7742
2025-10-20T09:11:04.810Z,116.323922,75.011882,2281.06,1228715.35,6838.93,108.32,0.171091,13.4667,7.5400
2025-10-20T08:11:04.810Z,354.965951,-29.393508,2983.37,1044010.44,6563.72,113.26,0.107503,5.2043,5.9053
2025-10-20T07:11:04.810Z,356.394521,-64.117382,2267.70,1481249.43,5209.72,109.48,0.032610,14.6726,8.8625
2025-10-20T06:11:04.810Z,15.473298,28.993460,2044.72,1207164.66,6935.27,82.99,0.163494,19.7859,13.8086
2025-10-20T05:11:04.810Z,24.980697,49.482986,2221.59,1419251.33,5480.40,119.85,0.026561,10.8763,9.1360
2025-10-20T04:11:04.810Z,53.919640,-38.831465,2147.51,1075973.35,5213.21,103.30,0.033930,1.5401,5.7403
2025-10-20T03:11:04.810Z,218.231141,-88.866064,2007.13,1270438.05,6132.52,115.83,0.016912,17.4002,9.4232
2025-10-20T02:11:04.810Z,162.819320,56.698584,2173.91,1040710.92,5062.02,85.47,0.029444,2.3118,9.7242
