timestamp,right_ascension,declination,brightness,luminosity,temperature,radiation_level,redshift,proper_motion,parallax
2025-10-25T03:01:06.791Z,96.824691,-72.645359,2478.22,1404973.96,6248.48,112.05,0.098571,10.4697,10.1092
2025-10-25T02:01:06.791Z,139.636271,89.782860,2125.01,1257095.84,6718.56,112.41,0.003214,7.7582,12.7608
2025-10-25T01:01:06.791Z,148.730735,-53.910585,2217.88,1145780.16,5999.79,101.49,0.052157,15.4866,9.2393
2025-10-25T00:01:06.791Z,36.940297,-34.115050,2081.75,1269852.03,5227.61,110.32,0.102349,6.1405,6.7238
2025-10-24T23:01:06.791Z,129.131329,79.621500,2886.04,1187818.02,6059.56,114.09,0.062820,3.0940,9.0370
2025-10-24T22:01:06.791Z,236.768991,-52.111951,2342.40,1406996.77,6901.40,108.62,0.052300,14.1877,13.2346
2025-10-24T21:01:06.791Z,227.618376,8.929713,2255.17,1354124.69,5801.27,86.62,0.196589,18.5266,8.7120
2025-10-24T20:01:06.791Z,43.635935,-9.051386,2970.96,1431547.42,5241.58,92.15,0.007594,2.5152,12.4644
2025-10-24T19:01:06.791Z,180.247924,49.846547,2313.22,1473303.64,5386.67,118.50,0.096716,18.7831,9.7033
2025-10-24T18:01:06.791Z,6.914929,5.007651,2231.67,1037045.40,6736.47,113.43,0.016866,18.1093,13.7781
2025-10-24T17:01:06.791Z,111.480439,-69.413285,2486.10,1288408.28,6104.59,91.52,0.051467,2.4146,11.5399
2025-10-24T16:01:06.791Z,238.858307,-40.794681,2078.41,1110388.54,5058.39,85.19,0.036588,19.5660,8.0604
2025-10-24T15:01:06.791Z,206.141769,37.181910,2302.43,1488503.81,6485.39,117.20,0.036229,14.4675,11.5710
2025-10-24T14:01:06.791Z,332.279541,-33.095208,2847.11,1273162.43,5612.85,113.33,0.060228,8.4985,7.7876
2025-10-24T13:01:06.791Z,17.904761,26.694327,2682.42,1438757.71,6024.50,99.26,0.052176,9.1866,12.9082
2025-10-24T12:01:06.791Z,357.379249,71.984272,2144.16,1163468.63,5220.07,112.54,0.043348,5.8864,11.2319
2025-10-24T11:01:06.791Z,16.039286,34.979404,2901.17,1390475.66,5050.77,95.77,0.185786,2.3884,6.5720
2025-10-24T10:01:06.791Z,285.322311,-31.259285,2975.64,1498106.08,5544.22,113.22,0.178138,14.2104,7.6759
2025-10-24T09:01:06.791Z,10.069291,17.587451,2862.45,1377086.85,6587.98,95.28,0.149448,4.6561,12.2815
2025-10-24T08:01:06.791Z,96.166374,10.289401,2052.35,1128606.29,5477.06,97.72,0.002201,17.9858,12.7515
2025-10-24T07:01:06.791Z,203.477370,50.705433,2077.73,1276136.42,6286.13,83.56,0.049342,16.0996,10.1656
2025-10-24T06:01:06.791Z,160.828549,-21.812214,2453.48,1361941.20,5972.24,101.11,0.128418,9.9125,14.4807
2025-10-24T05:01:06.791Z,171.664663,-67.865757,2896.91,1271904.55,6624.32,84.49,0.074697,10.9752,5.3639
2025-10-24T04:01:06.791Z,170.138592,30.919307,5656.41,1198330.78,5853.56,474.21,0.080135,9.6143,7.9247
2025-10-24T03:01:06.791Z,220.886307,39.757909,2774.52,1378885.49,6571.76,85.75,0.153475,13.0556,12.3384
2025-10-24T02:01:06.791Z,319.277076,-73.097304,9240.83,1290692.64,5317.96,367.54,0.018265,1.4059,7.2380
2025-10-24T01:01:06.791Z,59.115521,19.705547,2166.84,1283503.01,5286.87,87.31,0.015171,10.2351,9.9762
2025-10-24T00:01:06.791Z,342.364485,-23.345677,2118.75,1253983.96,6349.33,112.81,0.060999,2.3050,11.5878
2025-10-23T23:01:06.791Z,321.453698,-0.156516,1957.51,1447190.18,5744.99,152.21,0.111790,16.9409,6.7902
2025-10-23T22:01:06.791Z,159.777820,12.036309,2982.99,1122041.60,5886.17,109.81,0.065249,9.7502,14.6780
2025-10-23T21:01:06.791Z,120.497482,87.597124,2793.72,1212802.07,5792.65,108.93,0.116622,17.0684,13.9389
