timestamp,right_ascension,declination,brightness,luminosity,temperature,radiation_level,redshift,proper_motion,parallax
2026-02-15T11:25:52.885Z,293.594253,49.696429,2103.89,1108887.90,5930.10,81.77,0.147425,5.1520,6.5730
2026-02-15T10:25:52.885Z,33.872350,9.288947,2042.94,1489526.83,5534.79,114.02,0.146282,1.1852,13.3342
2026-02-15T09:25:52.885Z,5.759601,65.390672,2379.87,1314193.26,5546.04,117.22,0.037594,13.6898,14.5356
2026-02-15T08:25:52.885Z,288.250009,-2.845238,2414.85,1456122.87,5909.99,100.64,0.035221,0.4796,11.7244
2026-02-15T07:25:52.885Z,45.541338,-88.427008,2351.07,1446203.28,5524.22,102.01,0.071681,12.2643,11.6084
2026-02-15T06:25:52.885Z,299.517312,64.022096,2289.34,1032954.88,5392.78,117.85,0.174464,9.0607,9.5252
2026-02-15T05:25:52.885Z,129.497993,87.103480,2250.04,1372524.59,5999.49,104.72,0.156832,7.7436,9.3637
2026-02-15T04:25:52.885Z,165.982294,15.336306,2221.12,1264309.33,5757.77,83.88,0.115470,6.0348,10.7053
2026-02-15T03:25:52.885Z,312.663202,57.732162,2492.43,1363913.06,6333.25,116.54,0.151932,13.4647,9.4428
2026-02-15T02:25:52.885Z,7.058048,-23.740900,2583.56,1112787.13,6826.20,106.68,0.111564,12.5341,14.5010
2026-02-15T01:25:52.885Z,162.290058,22.478045,2901.97,1225202.87,5454.98,94.34,0.073503,17.3353,9.1304
2026-02-15T00:25:52.885Z,316.959164,45.398395,2406.61,1043025.22,5173.28,101.94,0.048763,2.8707,11.3796
2026-02-14T23:25:52.885Z,45.872158,63.616296,2351.80,1452066.40,6550.86,114.67,0.069117,4.2036,12.1275
2026-02-14T22:25:52.885Z,300.891464,26.806455,2599.08,1309448.64,6755.38,119.59,0.164900,6.9769,7.7899
2026-02-14T21:25:52.885Z,290.160665,-29.949137,2846.51,1003486.01,6441.28,108.16,0.115954,7.4121,14.8216
2026-02-14T20:25:52.885Z,49.769689,46.976489,2040.94,1333107.99,6143.89,105.54,0.133294,7.3487,10.8110
2026-02-14T19:25:52.885Z,5.324230,86.066352,2800.47,1092162.51,5003.29,102.02,0.105798,11.1548,12.8421
2026-02-14T18:25:52.885Z,157.109245,-51.546323,2842.26,1055651.71,5412.65,111.32,0.131906,18.7076,6.1625
2026-02-14T17:25:52.885Z,199.892498,89.779671,2507.60,1388843.04,5752.23,94.76,0.157481,14.4497,10.8540
2026-02-14T16:25:52.885Z,117.694125,52.970920,2125.48,1310993.62,6353.04,95.79,0.002401,17.3324,8.1430
2026-02-14T15:25:52.885Z,323.108401,-73.153116,2248.29,1317018.30,6048.59,117.93,0.086791,4.8235,9.5951
